id,downloads_bucket,files,tools,writes,guards,retries,candidates,patterns
0085fe99cfba,1-1k,11,38,3,0,0,9,
00bc5d68afa7,1-1k,1,7,0,0,0,0,
00f8cbbddc1c,10k-100k,1,0,0,0,0,0,
01ac8683f3c8,1-1k,48,13,17,12,1,0,
02047350d4a0,1k-10k,0,0,0,0,0,0,
02e647c3628c,1-1k,5,33,0,0,0,2,
0366bf0a39e6,1k-10k,54,42,34,15,0,9,B_method_blind_retry
042a3e99ad98,1-1k,7,7,0,0,3,0,
047406ad6dc8,1-1k,31,25,12,2,2,6,
048b5f66f0cd,1-1k,3,8,11,0,0,2,
0572289121a4,1-1k,10,19,14,0,0,8,
063c464062cd,1-1k,121,76,27,0,0,25,
06d567973604,1-1k,1,3,0,0,0,0,
07ef0a20dd6a,1k-10k,50,9,29,52,0,4,
084a4f4c6398,1k-10k,21,14,6,10,0,4,
087367c926a2,1-1k,47,27,6,0,0,8,
089ec38ca404,1k-10k,5,13,2,0,0,1,
09299a68df70,1k-10k,38,11,6,6,0,2,
09833ea4ff82,1-1k,28,11,4,0,0,3,
09bb33524446,1-1k,0,0,0,0,0,0,
09ce31e0abf4,1k-10k,23,27,4,9,0,7,
0a1bb3eb815f,1-1k,5,6,2,0,0,1,
0a8f578e1113,1k-10k,78,12,21,0,4,0,
0ab38bc3fdc9,1k-10k,6,20,3,7,0,0,
0ac288db0fe5,1-1k,37,68,105,10,2,12,
0ae6961b6621,1-1k,6,2,0,0,0,0,
0b29c6b01a3f,1k-10k,158,21,188,205,21,9,
0b37c90eb8ef,1-1k,26,8,0,0,0,0,
0b8b018706ae,1-1k,28,1,46,0,0,0,
0bab43ca13ef,1-1k,1,10,3,0,0,1,
0bcd7ce4e94a,1k-10k,133,4,5,1,6,0,
0bf39d70d907,1-1k,10,22,2,0,0,15,
0c321a756eff,1-1k,34,2,12,2,0,0,
0d14cd185c57,1-1k,28,10,4,0,1,1,
0d58c63dcd69,1-1k,16,16,9,0,0,5,
0da057f7254e,1k-10k,31,8,1,1,0,1,
0e02e1e21cdd,1-1k,34,35,12,33,0,14,
0f1cd3c2778c,1-1k,13,7,6,0,0,1,
0f524a5f6afe,1-1k,25,2,0,0,0,0,
0fb6955d1646,1-1k,6,2,0,0,0,0,
109404efbf10,1-1k,31,14,1,9,0,2,
111f5a52174a,1-1k,33,32,29,0,0,9,
11727d7ddb04,1-1k,21,41,8,29,0,4,
12beb3a3db7b,1-1k,46,13,78,65,0,4,
12fbd8e5cce8,1-1k,32,16,48,34,5,3,
1352bd736448,1-1k,25,0,0,0,0,0,
13b65970cce7,1-1k,26,0,0,0,0,0,
13edb2dd3d61,1k-10k,35,13,1,0,0,2,
13ee4391d602,1-1k,1,58,4,8,0,18,
